id	exp	bam	assembly	genotype	replicate	sequencing
EGAR00001733321_ind_43_N656_15_fv	EGAR00001733321_ind_43_N656_15_fv	bismark/EGAR00001733321_ind_43_N656_15_fv/EGAR00001733321_ind_43_N656_15_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733322_pat_021_N838_13_fv	EGAR00001733322_pat_021_N838_13_fv	bismark/EGAR00001733322_pat_021_N838_13_fv/EGAR00001733322_pat_021_N838_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733323_pat_027_N1154_13_fv	EGAR00001733323_pat_027_N1154_13_fv	bismark/EGAR00001733323_pat_027_N1154_13_fv/EGAR00001733323_pat_027_N1154_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733324_pat_027_N879_12_fv	EGAR00001733324_pat_027_N879_12_fv	bismark/EGAR00001733324_pat_027_N879_12_fv/EGAR00001733324_pat_027_N879_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733325_pat_028_N1164_14_fv	EGAR00001733325_pat_028_N1164_14_fv	bismark/EGAR00001733325_pat_028_N1164_14_fv/EGAR00001733325_pat_028_N1164_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733326_pat_043_N486_13_fv	EGAR00001733326_pat_043_N486_13_fv	bismark/EGAR00001733326_pat_043_N486_13_fv/EGAR00001733326_pat_043_N486_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733327_pat_103_N1934_14_fv	EGAR00001733327_pat_103_N1934_14_fv	bismark/EGAR00001733327_pat_103_N1934_14_fv/EGAR00001733327_pat_103_N1934_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733329_pat_108_N54_13_fv	EGAR00001733329_pat_108_N54_13_fv	bismark/EGAR00001733329_pat_108_N54_13_fv/EGAR00001733329_pat_108_N54_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733330_pat_110_N1020_10_fv	EGAR00001733330_pat_110_N1020_10_fv	bismark/EGAR00001733330_pat_110_N1020_10_fv/EGAR00001733330_pat_110_N1020_10_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733331_pat_110_N1917_12_fv	EGAR00001733331_pat_110_N1917_12_fv	bismark/EGAR00001733331_pat_110_N1917_12_fv/EGAR00001733331_pat_110_N1917_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
