id	exp	bam	assembly	genotype	replicate	sequencing
EGAR00001733321_ind_43_N656_15_fv	EGAR00001733321_ind_43_N656_15_fv	EGAR00001733321_ind_43_N656_15_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733322_pat_021_N838_13_fv	EGAR00001733322_pat_021_N838_13_fv	EGAR00001733322_pat_021_N838_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733323_pat_027_N1154_13_fv	EGAR00001733323_pat_027_N1154_13_fv	EGAR00001733323_pat_027_N1154_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733324_pat_027_N879_12_fv	EGAR00001733324_pat_027_N879_12_fv	EGAR00001733324_pat_027_N879_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733325_pat_028_N1164_14_fv	EGAR00001733325_pat_028_N1164_14_fv	EGAR00001733325_pat_028_N1164_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733326_pat_043_N486_13_fv	EGAR00001733326_pat_043_N486_13_fv	EGAR00001733326_pat_043_N486_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733327_pat_103_N1934_14_fv	EGAR00001733327_pat_103_N1934_14_fv	EGAR00001733327_pat_103_N1934_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733329_pat_108_N54_13_fv	EGAR00001733329_pat_108_N54_13_fv	EGAR00001733329_pat_108_N54_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733330_pat_110_N1020_10_fv	EGAR00001733330_pat_110_N1020_10_fv	EGAR00001733330_pat_110_N1020_10_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733331_pat_110_N1917_12_fv	EGAR00001733331_pat_110_N1917_12_fv	EGAR00001733331_pat_110_N1917_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733332_pat_121_N2613_14_fv	EGAR00001733332_pat_121_N2613_14_fv	EGAR00001733332_pat_121_N2613_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733333_pat_128_N661_08G3	EGAR00001733333_pat_128_N661_08G3	EGAR00001733333_pat_128_N661_08G3_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733334_pat_129_N307_08C	EGAR00001733334_pat_129_N307_08C	EGAR00001733334_pat_129_N307_08C_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733335_pat_130_N473_09	EGAR00001733335_pat_130_N473_09	EGAR00001733335_pat_130_N473_09_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733336_pat_131_N104_11B	EGAR00001733336_pat_131_N104_11B	EGAR00001733336_pat_131_N104_11B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733337_pat_132_N1581_09B	EGAR00001733337_pat_132_N1581_09B	EGAR00001733337_pat_132_N1581_09B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733338_pat_133_N268_09	EGAR00001733338_pat_133_N268_09	EGAR00001733338_pat_133_N268_09_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733339_pat_134_N466_12A	EGAR00001733339_pat_134_N466_12A	EGAR00001733339_pat_134_N466_12A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733340_pat_134_N466_12A_fv	EGAR00001733340_pat_134_N466_12A_fv	EGAR00001733340_pat_134_N466_12A_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733341_pat_135_N1583_07	EGAR00001733341_pat_135_N1583_07	EGAR00001733341_pat_135_N1583_07_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733342_pat_136_N1290_12C	EGAR00001733342_pat_136_N1290_12C	EGAR00001733342_pat_136_N1290_12C_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733343_pat_136_N1290_12_fv	EGAR00001733343_pat_136_N1290_12_fv	EGAR00001733343_pat_136_N1290_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733344_pat_137_N1351_09B	EGAR00001733344_pat_137_N1351_09B	EGAR00001733344_pat_137_N1351_09B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733345_pat_138_N637_10	EGAR00001733345_pat_138_N637_10	EGAR00001733345_pat_138_N637_10_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733346_pat_139_N654_12B	EGAR00001733346_pat_139_N654_12B	EGAR00001733346_pat_139_N654_12B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733347_pat_139_N654_12_fv	EGAR00001733347_pat_139_N654_12_fv	EGAR00001733347_pat_139_N654_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733348_pat_140_N2207_13	EGAR00001733348_pat_140_N2207_13	EGAR00001733348_pat_140_N2207_13_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733349_pat_140_N2207_13_fv	EGAR00001733349_pat_140_N2207_13_fv	EGAR00001733349_pat_140_N2207_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733350_pat_141_N1711_10B	EGAR00001733350_pat_141_N1711_10B	EGAR00001733350_pat_141_N1711_10B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733351_pat_142_N1024_15B	EGAR00001733351_pat_142_N1024_15B	EGAR00001733351_pat_142_N1024_15B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733352_pat_143_N1160_15	EGAR00001733352_pat_143_N1160_15	EGAR00001733352_pat_143_N1160_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733353_pat_143_N1160_15_fv	EGAR00001733353_pat_143_N1160_15_fv	EGAR00001733353_pat_143_N1160_15_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733354_pat_144_N1236_14A	EGAR00001733354_pat_144_N1236_14A	EGAR00001733354_pat_144_N1236_14A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733355_pat_145_N1336_14A	EGAR00001733355_pat_145_N1336_14A	EGAR00001733355_pat_145_N1336_14A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733356_pat_146_N1383_14A	EGAR00001733356_pat_146_N1383_14A	EGAR00001733356_pat_146_N1383_14A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733357_pat_146_N1383_14A_fv	EGAR00001733357_pat_146_N1383_14A_fv	EGAR00001733357_pat_146_N1383_14A_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733358_pat_147_N1436_15	EGAR00001733358_pat_147_N1436_15	EGAR00001733358_pat_147_N1436_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733359_pat_147_N1436_15_fv	EGAR00001733359_pat_147_N1436_15_fv	EGAR00001733359_pat_147_N1436_15_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733360_pat_148_N1448_14	EGAR00001733360_pat_148_N1448_14	EGAR00001733360_pat_148_N1448_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733361_pat_149_N1491_15	EGAR00001733361_pat_149_N1491_15	EGAR00001733361_pat_149_N1491_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733362_pat_150_N1541_14	EGAR00001733362_pat_150_N1541_14	EGAR00001733362_pat_150_N1541_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733363_pat_150_N1541_14_fv	EGAR00001733363_pat_150_N1541_14_fv	EGAR00001733363_pat_150_N1541_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733364_pat_151_N1543_14E	EGAR00001733364_pat_151_N1543_14E	EGAR00001733364_pat_151_N1543_14E_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733365_pat_151_N1543_14E_fv	EGAR00001733365_pat_151_N1543_14E_fv	EGAR00001733365_pat_151_N1543_14E_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733366_pat_152_N1576_15	EGAR00001733366_pat_152_N1576_15	EGAR00001733366_pat_152_N1576_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733367_pat_153_N1672_14	EGAR00001733367_pat_153_N1672_14	EGAR00001733367_pat_153_N1672_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733368_pat_153_N1672_14_fv	EGAR00001733368_pat_153_N1672_14_fv	EGAR00001733368_pat_153_N1672_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733369_pat_154_N1875_14	EGAR00001733369_pat_154_N1875_14	EGAR00001733369_pat_154_N1875_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733370_pat_155_N1883_14	EGAR00001733370_pat_155_N1883_14	EGAR00001733370_pat_155_N1883_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733371_pat_155_N1883_14_fv	EGAR00001733371_pat_155_N1883_14_fv	EGAR00001733371_pat_155_N1883_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733372_pat_156_N2012_14	EGAR00001733372_pat_156_N2012_14	EGAR00001733372_pat_156_N2012_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
