n_cells	n_cpgs	mode	covParams	transMat
50	50	rand	low	lmr
50	100	rand	low	lmr
50	1000	rand	low	lmr
50	10000	rand	low	lmr
50	50	nb	low	lmr
50	100	nb	low	lmr
50	1000	nb	low	lmr
50	10000	nb	low	lmr
50	50	rand	lowReal	lmr
50	100	rand	lowReal	lmr
50	1000	rand	lowReal	lmr
50	10000	rand	lowReal	lmr
50	50	nb	lowReal	lmr
50	100	nb	lowReal	lmr
50	1000	nb	lowReal	lmr
50	10000	nb	lowReal	lmr
50	50	rand	medium	lmr
50	100	rand	medium	lmr
50	1000	rand	medium	lmr
50	10000	rand	medium	lmr
50	50	nb	medium	lmr
50	100	nb	medium	lmr
50	1000	nb	medium	lmr
50	10000	nb	medium	lmr
50	50	rand	high	lmr
50	100	rand	high	lmr
50	1000	rand	high	lmr
50	10000	rand	high	lmr
50	50	nb	high	lmr
50	100	nb	high	lmr
50	1000	nb	high	lmr
50	10000	nb	high	lmr
50	50	rand	complete	lmr
50	100	rand	complete	lmr
50	1000	rand	complete	lmr
50	10000	rand	complete	lmr
50	50	nb	complete	lmr
50	100	nb	complete	lmr
50	1000	nb	complete	lmr
50	10000	nb	complete	lmr
50	50	rand	low	hmr
50	100	rand	low	hmr
50	1000	rand	low	hmr
50	10000	rand	low	hmr
50	50	nb	low	hmr
50	100	nb	low	hmr
50	1000	nb	low	hmr
50	10000	nb	low	hmr
50	50	rand	lowReal	hmr
50	100	rand	lowReal	hmr
50	1000	rand	lowReal	hmr
50	10000	rand	lowReal	hmr
50	50	nb	lowReal	hmr
50	100	nb	lowReal	hmr
50	1000	nb	lowReal	hmr
50	10000	nb	lowReal	hmr
50	50	rand	medium	hmr
50	100	rand	medium	hmr
50	1000	rand	medium	hmr
50	10000	rand	medium	hmr
50	50	nb	medium	hmr
50	100	nb	medium	hmr
50	1000	nb	medium	hmr
50	10000	nb	medium	hmr
50	50	rand	high	hmr
50	100	rand	high	hmr
50	1000	rand	high	hmr
50	10000	rand	high	hmr
50	50	nb	high	hmr
50	100	nb	high	hmr
50	1000	nb	high	hmr
50	10000	nb	high	hmr
50	50	rand	complete	hmr
50	100	rand	complete	hmr
50	1000	rand	complete	hmr
50	10000	rand	complete	hmr
50	50	nb	complete	hmr
50	100	nb	complete	hmr
50	1000	nb	complete	hmr
50	10000	nb	complete	hmr
50	50	rand	low	imrCons
50	100	rand	low	imrCons
50	1000	rand	low	imrCons
50	10000	rand	low	imrCons
50	50	nb	low	imrCons
50	100	nb	low	imrCons
50	1000	nb	low	imrCons
50	10000	nb	low	imrCons
50	50	rand	lowReal	imrCons
50	100	rand	lowReal	imrCons
50	1000	rand	lowReal	imrCons
50	10000	rand	lowReal	imrCons
50	50	nb	lowReal	imrCons
50	100	nb	lowReal	imrCons
50	1000	nb	lowReal	imrCons
50	10000	nb	lowReal	imrCons
50	50	rand	medium	imrCons
50	100	rand	medium	imrCons
50	1000	rand	medium	imrCons
50	10000	rand	medium	imrCons
50	50	nb	medium	imrCons
50	100	nb	medium	imrCons
50	1000	nb	medium	imrCons
50	10000	nb	medium	imrCons
50	50	rand	high	imrCons
50	100	rand	high	imrCons
50	1000	rand	high	imrCons
50	10000	rand	high	imrCons
50	50	nb	high	imrCons
50	100	nb	high	imrCons
50	1000	nb	high	imrCons
50	10000	nb	high	imrCons
50	50	rand	complete	imrCons
50	100	rand	complete	imrCons
50	1000	rand	complete	imrCons
50	10000	rand	complete	imrCons
50	50	nb	complete	imrCons
50	100	nb	complete	imrCons
50	1000	nb	complete	imrCons
50	10000	nb	complete	imrCons
50	50	rand	low	imrRand
50	100	rand	low	imrRand
50	1000	rand	low	imrRand
50	10000	rand	low	imrRand
50	50	nb	low	imrRand
50	100	nb	low	imrRand
50	1000	nb	low	imrRand
50	10000	nb	low	imrRand
50	50	rand	lowReal	imrRand
50	100	rand	lowReal	imrRand
50	1000	rand	lowReal	imrRand
50	10000	rand	lowReal	imrRand
50	50	nb	lowReal	imrRand
50	100	nb	lowReal	imrRand
50	1000	nb	lowReal	imrRand
50	10000	nb	lowReal	imrRand
50	50	rand	medium	imrRand
50	100	rand	medium	imrRand
50	1000	rand	medium	imrRand
50	10000	rand	medium	imrRand
50	50	nb	medium	imrRand
50	100	nb	medium	imrRand
50	1000	nb	medium	imrRand
50	10000	nb	medium	imrRand
50	50	rand	high	imrRand
50	100	rand	high	imrRand
50	1000	rand	high	imrRand
50	10000	rand	high	imrRand
50	50	nb	high	imrRand
50	100	nb	high	imrRand
50	1000	nb	high	imrRand
50	10000	nb	high	imrRand
50	50	rand	complete	imrRand
50	100	rand	complete	imrRand
50	1000	rand	complete	imrRand
50	10000	rand	complete	imrRand
50	50	nb	complete	imrRand
50	100	nb	complete	imrRand
50	1000	nb	complete	imrRand
50	10000	nb	complete	imrRand
